"Date","Room","Prov","Pot","W_treatment","Code","Height","D1","D2","D","Stemmass","Rootmass","Leafmass","Leafarea"
2016-01-18,2,"B",28,"d","B-28",14.2,1.03,1.03,1.03,0.0171926999863876,0.118623911955707,0.168966333260903,42.718500634236
2016-01-18,2,"B",29,"d","B-29",13.2,1.08,1.07,1.075,0.0184618529757454,0.128332664781269,0.165753719173517,43.0812619289732
2016-01-18,2,"B",30,"d","B-30",16.3,1.29,1.28,1.285,0.0359822939342199,0.174479473438226,0.258343530859832,64.0019209931784
2016-01-28,2,"B",16,"d","B-16",21.3,1.95,1.9,1.925,0.140275769779203,0.352898013539518,0.570131406028062,135.43065110949
2016-01-28,2,"B",17,"d","B-17",21.3,2.06,2.05,2.055,0.169449337873609,0.396167866877367,0.620117216850634,148.325450460671
2016-01-28,2,"B",18,"d","B-18",22.6,1.8,1.78,1.79,0.118617884316915,0.309534897654923,0.551447553306703,127.572832604024
2016-01-28,2,"B",19,"d","B-19",24,2.29,1.96,2.125,0.203376963177326,0.418317367463223,0.730869221525111,168.927451094641
2016-01-28,2,"B",20,"d","B-20",18.2,1.85,1.78,1.815,0.105698913978949,0.320048402520787,0.450520497311044,111.787646298174
2016-01-28,2,"B",21,"d","B-21",20.4,1.67,1.68,1.675,0.0909592415971108,0.276368973880574,0.456278684164099,108.274344035587
2016-01-28,2,"B",22,"d","B-22",16.4,1.47,1.44,1.455,0.0517615847549363,0.217338233474678,0.304993070822698,76.4095294137196
2016-01-28,2,"B",23,"d","B-23",20.6,1.93,1.93,1.93,0.137982359448184,0.355006653807374,0.552942579992721,132.781715054927
2016-01-28,2,"B",24,"d","B-24",18.7,1.42,1.43,1.425,0.0535497443793742,0.208349137677323,0.339281550406649,81.3590649301803
2016-01-28,2,"B",25,"d","B-25",19.5,2.02,2.08,2.05,0.157927860994115,0.395890213267102,0.565141163161583,138.974055744454
2016-01-28,2,"B",26,"d","B-26",21.4,2,1.97,1.985,0.15380929870093,0.372526890603419,0.595914569948723,141.804688643575
2016-01-28,2,"B",27,"d","B-27",23.8,2.12,2.1,2.11,0.198060706848791,0.413246918310173,0.718110074425626,166.294406460849
2016-01-28,2,"B",28,"d","B-28",20,2.11,2.06,2.085,0.168891532026091,0.407509167414929,0.592628767558348,144.828351263059
2016-01-28,2,"B",29,"d","B-29",17.2,1.65,1.67,1.66,0.078408774601769,0.273908221580019,0.379247741226234,94.9027960135941
2016-01-28,2,"B",30,"d","B-30",21.3,1.93,1.96,1.945,0.144531054637261,0.359413019491832,0.577760399172317,137.392886225624
2016-02-08,2,"B",16,"d","B-16",33.4,3.69,3.78,3.735,1.31669964317504,1.11976497269574,2.11179427401171,466.587520009809
